# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.791670e+00 8.892864e-15 7.794860e-18
1.792066e+00 8.838175e-15 7.888116e-18
1.792462e+00 8.988824e-15 9.924210e-18
1.792858e+00 9.081022e-15 1.031206e-17
1.793254e+00 8.731711e-15 1.001568e-17
1.793650e+00 8.443314e-15 8.397155e-18
1.794046e+00 8.560510e-15 8.237647e-18
1.794442e+00 8.720295e-15 8.403333e-18
1.794838e+00 8.645743e-15 8.510948e-18
1.795234e+00 8.868762e-15 8.936797e-18
1.795630e+00 9.541653e-15 9.495735e-18
1.796026e+00 9.063797e-15 9.077072e-18
1.796422e+00 8.428858e-15 8.658584e-18
1.796818e+00 9.003018e-15 9.094578e-18
1.797214e+00 9.440244e-15 9.359614e-18
1.797610e+00 9.381456e-15 9.196504e-18
1.798006e+00 9.336917e-15 8.626048e-18
1.798402e+00 9.585665e-15 8.580167e-18
1.798798e+00 9.413223e-15 8.415044e-18
1.799194e+00 8.660808e-15 8.005408e-18
1.799590e+00 8.265572e-15 7.783997e-18
1.799986e+00 8.414993e-15 7.828364e-18
1.800382e+00 8.510130e-15 8.085514e-18
1.800778e+00 8.144152e-15 7.797262e-18
1.801174e+00 7.820683e-15 8.879864e-18
1.801570e+00 8.121412e-15 8.151195e-18
1.801966e+00 8.404425e-15 8.751901e-18
1.802362e+00 8.184958e-15 8.017917e-18
1.802758e+00 8.128303e-15 7.819318e-18
1.803154e+00 8.537733e-15 7.975430e-18
1.803550e+00 8.694303e-15 8.191627e-18
1.803946e+00 9.025990e-15 8.508696e-18
1.804342e+00 9.359614e-15 8.597380e-18
1.804738e+00 9.123175e-15 8.323459e-18
1.805134e+00 8.771288e-15 7.691792e-18
1.805530e+00 8.450198e-15 7.391127e-18
1.805926e+00 8.276652e-15 7.712229e-18
1.806322e+00 8.528494e-15 8.005008e-18
1.806718e+00 8.627190e-15 8.071255e-18
1.807114e+00 8.068991e-15 7.679209e-18
1.807510e+00 7.851345e-15 7.235537e-18
