# Wlen(nm) Transmission
1.922455765633263354e+03 7.265561807059096600e-01
1.922462271439773303e+03 7.282328315329777979e-01
1.922468888901051287e+03 7.355281820655943381e-01
1.922475477977809305e+03 7.469507296416698638e-01
1.922482011551265259e+03 7.596083160835835901e-01
1.922488684076170330e+03 7.707803692088188718e-01
1.922495167623806992e+03 7.793220777621862050e-01
1.922501855693862808e+03 7.853856696826867489e-01
1.922508373098739867e+03 7.896308525315226534e-01
1.922514976850199673e+03 7.927737848791625019e-01
1.922521578133776757e+03 7.952953794283081912e-01
1.922528097388548531e+03 7.974161257050834672e-01
1.922534782728828759e+03 7.992175398440225509e-01
1.922541265651712592e+03 8.007354640640665933e-01
1.922547938539628831e+03 8.020121434687673689e-01
1.922554469622886018e+03 8.030637593449931888e-01
1.922561057583085358e+03 8.039158218552585611e-01
1.922567673153854230e+03 8.045961403417037916e-01
1.922574176008138920e+03 8.051308057463552048e-01
1.922580876244526280e+03 8.055483685473779909e-01
1.922587358542175707e+03 8.058570945220724369e-01
1.922594014165628778e+03 8.060716751105644340e-01
1.922600561008518753e+03 8.061889400081888590e-01
1.922607131094773422e+03 8.062075334222675860e-01
1.922613763034345538e+03 8.061188702797915662e-01
1.922620247405100145e+03 8.059022312450523362e-01
1.922626964619566252e+03 8.055361795647654199e-01
1.922633446291499467e+03 8.049797410459621494e-01
1.922640082566924548e+03 8.042137601299982341e-01
1.922646647251940522e+03 8.032387138344797561e-01
1.922653197380325537e+03 8.021214858418619364e-01
1.922659847771554723e+03 8.009602459168410071e-01
1.922666329001471468e+03 7.998009384079829420e-01
1.922673030422822649e+03 7.986438438182833499e-01
1.922679528895986095e+03 7.974280589366287142e-01
1.922686143738575538e+03 7.960319964393797187e-01
1.922692728349452636e+03 7.942683683538750428e-01
1.922699256434800418e+03 7.919679523840271740e-01
1.922705927361781050e+03 7.889986058969781224e-01
1.922712407965156444e+03 7.852214225473558296e-01
1.922719086478079362e+03 7.804690778462171075e-01
1.922725606351933948e+03 7.744919813388787544e-01
1.922732197675637735e+03 7.669379799854529889e-01
1.922738804297352544e+03 7.572816920876186408e-01
1.922745308253252460e+03 7.447529622887681944e-01
1.922752001801321967e+03 7.282550900215682965e-01
1.922758481777672841e+03 7.062216492911838062e-01
1.922765135295233677e+03 6.765172497251920047e-01
1.922771678655639334e+03 6.366419410972524728e-01
1.922778244373162579e+03 5.844938733100323303e-01
